Type	Shape	Chr	Start	End	color
ChIP-seq	box	5	59035188	59035286	33a02c
Exome-seq	triangle	5	93930927	93930996	33a02c
ChIP-seq	box	5	95440597	95440672	33a02c
ChIP-seq	box	5	100180084	100180168	33a02c
RNA-seq	circle	5	105286593	105286708	1f78b4
ChIP-seq	box	5	109877428	109877515	33a02c
lncRNA-seq	circle	5	118809309	118809427	984ea3
lncRNA-seq	circle	5	129478003	129478093	984ea3
Exome-seq	triangle	5	134290048	134290119	33a02c
ChIP-seq	box	5	135444075	135444196	33a02c
ChIP-seq	box	5	148422068	148422165	33a02c
lncRNA-seq	circle	5	150837212	150837331	984ea3
ChIP-seq	box	5	154045528	154045614	33a02c
lncRNA-seq	circle	5	155205024	155205142	984ea3
ChIP-seq	box	5	159844936	159845035	33a02c
ChIP-seq	box	5	167920478	167920556	33a02c
ChIP-seq	box	5	175727554	175727640	33a02c
ChIP-seq	box	5	179157883	179157952	33a02c
Exome-seq	triangle	5	180456675	180456748	33a02c
RNA-seq	circle	6	4373195	4373314	1f78b4
RNA-seq	circle	6	17829995	17830113	1f78b4
rainbow-genome	triangle	6	26394732	26394804	984ea3
Exome-seq	triangle	6	27579501	27579572	33a02c
Exome-seq	triangle	6	28673095	28673176	33a02c
ChIP-seq	box	6	30660087	30660173	33a02c
ChIP-seq	box	6	32032594	32032696	33a02c
ChIP-seq	box	6	33283589	33283699	33a02c
RNA-seq	circle	6	41315235	41315342	1f78b4
RNA-seq	circle	6	43493809	43493905	1f78b4
ChIP-seq	box	6	45273388	45273485	33a02c
ChIP-seq	box	6	52117105	52117191	33a02c
Exome-seq	triangle	6	58249835	58249908	33a02c
Exome-seq	triangle	6	79724728	79724801	33a02c
RNA-seq	circle	6	82388635	82388755	1f78b4
Exome-seq	triangle	6	95213699	95213768	33a02c
RNA-seq	circle	6	107003945	107004062	1f78b4
lncRNA-seq	circle	6	108680297	108680410	984ea3
lncRNA-seq	circle	6	110181045	110181151	984ea3
ChIP-seq	box	6	119431910	119432007	33a02c
lncRNA-seq	circle	6	121049465	121049587	984ea3
lncRNA-seq	circle	6	129856210	129856327	984ea3
lncRNA-seq	circle	6	134619865	134619974	984ea3
ChIP-seq	box	6	156309622	156309705	33a02c
Exome-seq	triangle	6	158744635	158744708	33a02c
lncRNA-seq	circle	6	161127500	161127606	984ea3
lncRNA-seq	circle	6	165743040	165743155	984ea3
ChIP-seq	box	6	166842831	166842911	33a02c
ChIP-seq	box	7	5501975	5502074	33a02c
ChIP-seq	box	7	18133367	18133457	33a02c
ChIP-seq	box	7	21477200	21477289	33a02c
ChIP-seq	box	7	25956063	25956131	33a02c
ChIP-seq	box	7	27175623	27175707	33a02c
ChIP-seq	box	7	30295934	30296031	33a02c
ChIP-seq	box	7	32739117	32739214	33a02c
ChIP-seq	box	7	34946896	34946971	33a02c
ChIP-seq	box	7	36925486	36925562	33a02c
Exome-seq	triangle	7	57242424	57242493	33a02c
Exome-seq	triangle	7	68434300	68434368	33a02c
RNA-seq	circle	7	73539693	73539806	1f78b4
RNA-seq	circle	7	79121360	79121479	1f78b4
RNA-seq	circle	7	82485149	82485263	1f78b4
ChIP-seq	box	7	95686909	95687004	33a02c
lncRNA-seq	circle	7	120408733	120408843	984ea3
ChIP-seq	box	7	129201980	129202090	33a02c
ChIP-seq	box	7	130212045	130212109	33a02c
Exome-seq	triangle	7	148638213	148638285	33a02c
ChIP-seq	box	7	150566439	150566557	33a02c
ChIP-seq	box	7	157059788	157059875	33a02c
ChIP-seq	box	8	1752803	1752880	33a02c
ChIP-seq	box	8	7983872	7984021	33a02c
ChIP-seq	box	8	14755317	14755390	33a02c
RNA-seq	circle	8	17649906	17650019	1f78b4
RNA-seq	circle	8	20191964	20192080	1f78b4
ChIP-seq	box	8	22158419	22158501	33a02c
RNA-seq	circle	8	26050312	26050431	1f78b4
RNA-seq	circle	8	28961929	28962040	1f78b4
RNA-seq	circle	8	32233553	32233681	1f78b4
RNA-seq	circle	8	36741120	36741227	1f78b4
ChIP-seq	box	8	41637115	41637183	33a02c
Exome-seq	triangle	8	47859202	47859277	33a02c
RNA-seq	circle	8	60530997	60531123	1f78b4
Exome-seq	triangle	8	68660186	68660257	33a02c
ChIP-seq	box	8	105565772	105565869	33a02c
lncRNA-seq	circle	8	108965897	108966015	984ea3
Exome-seq	triangle	8	112016132	112016204	33a02c
lncRNA-seq	circle	8	120972538	120972650	984ea3
ChIP-seq	box	8	129231543	129231616	33a02c
ChIP-seq	box	8	135881944	135882032	33a02c
RNA-seq	circle	9	1323836	1323953	1f78b4
ChIP-seq	box	9	4840296	4840375	33a02c
rainbow-genome	triangle	9	14423937	14424009	984ea3
ChIP-seq	box	9	20706103	20706187	33a02c
ChIP-seq	box	9	28853623	28853704	33a02c
RNA-seq	circle	9	67898743	67898861	1f78b4
RNA-seq	circle	9	75555708	75555816	1f78b4
Exome-seq	triangle	9	76707809	76707881	33a02c
Exome-seq	triangle	9	80546233	80546306	33a02c
Exome-seq	triangle	9	94341300	94341366	33a02c
ChIP-seq	box	9	95978059	95978139	33a02c
lncRNA-seq	circle	9	108645850	108645968	984ea3
lncRNA-seq	circle	9	110794509	110794670	984ea3
Exome-seq	triangle	9	112000623	112000696	33a02c
ChIP-seq	box	9	122047077	122047149	33a02c
ChIP-seq	box	9	130046820	130046930	33a02c
rainbow-genome	triangle	10	5935679	5935752	984ea3
RNA-seq	circle	10	13006690	13006788	1f78b4
ChIP-seq	box	10	14518580	14518666	33a02c
ChIP-seq	box	10	17927112	17927199	33a02c
ChIP-seq	box	10	21825496	21825576	33a02c
RNA-seq	circle	10	26838523	26838639	1f78b4
RNA-seq	circle	10	29203327	29203442	1f78b4
Exome-seq	triangle	10	36763548	36763617	33a02c
ChIP-seq	box	10	52729338	52729421	33a02c
Exome-seq	triangle	10	69194266	69194348	33a02c
ChIP-seq	box	10	76982221	76982317	33a02c
RNA-seq	circle	10	79016812	79016923	1f78b4
RNA-seq	circle	10	95260314	95260427	1f78b4
ChIP-seq	box	10	100144964	100145054	33a02c
ChIP-seq	box	10	104186258	104186331	33a02c
ChIP-seq	box	10	105797836	105797934	33a02c
lncRNA-seq	circle	10	108719768	108719880	984ea3
lncRNA-seq	circle	10	112510889	112511004	984ea3
ChIP-seq	box	11	1974564	1974637	33a02c
RNA-seq	circle	11	5994801	5994920	1f78b4
RNA-seq	circle	11	13596226	13596333	1f78b4
RNA-seq	circle	11	20979002	20979119	1f78b4
Exome-seq	triangle	11	39745076	39745144	33a02c
ChIP-seq	box	11	43559519	43559609	33a02c
Exome-seq	triangle	11	50190454	50190526	33a02c
Exome-seq	triangle	11	51216475	51216548	33a02c
ChIP-seq	box	11	57165246	57165335	33a02c
Exome-seq	triangle	11	59074677	59074750	33a02c
RNA-seq	circle	11	68328172	68328294	1f78b4
ChIP-seq	box	11	69807708	69807824	33a02c
RNA-seq	circle	11	73587430	73587546	1f78b4
ChIP-seq	box	11	74723783	74723878	33a02c
ChIP-seq	box	11	78790713	78790801	33a02c
ChIP-seq	box	11	93839308	93839394	33a02c
RNA-seq	circle	11	94896841	94896946	1f78b4
lncRNA-seq	circle	11	108496814	108496923	984ea3
lncRNA-seq	circle	11	110416031	110416142	984ea3
ChIP-seq	box	11	121475674	121475762	33a02c
ChIP-seq	box	12	12156152	12156237	33a02c
RNA-seq	circle	12	13485084	13485202	1f78b4
RNA-seq	circle	12	26417823	26417933	1f78b4
Exome-seq	triangle	12	27734572	27734645	33a02c
RNA-seq	circle	12	34249900	34250019	1f78b4
RNA-seq	circle	12	36841534	36841651	1f78b4
Exome-seq	triangle	12	40379391	40379460	33a02c
RNA-seq	circle	12	43797820	43797938	1f78b4
ChIP-seq	box	12	47334493	47334580	33a02c
Exome-seq	triangle	12	48497392	48497461	33a02c
ChIP-seq	box	12	52671788	52671898	33a02c
ChIP-seq	box	12	67953203	67953265	33a02c
ChIP-seq	box	12	78337167	78337232	33a02c
ChIP-seq	box	12	79750442	79750539	33a02c
ChIP-seq	box	12	93752304	93752420	33a02c
Exome-seq	triangle	12	94953929	94954000	33a02c
ChIP-seq	box	12	107754812	107754911	33a02c
ChIP-seq	box	12	111617221	111617364	33a02c
lncRNA-seq	circle	12	122333415	122333534	984ea3
Exome-seq	triangle	12	123972253	123972325	33a02c
Exome-seq	triangle	12	129366104	129366175	33a02c
lncRNA-seq	circle	12	130711560	130711672	984ea3
Exome-seq	triangle	13	30146100	30146174	33a02c
Exome-seq	triangle	13	35537680	35537749	33a02c
RNA-seq	circle	13	37326988	37327107	1f78b4
ChIP-seq	box	13	40199963	40200011	33a02c
Exome-seq	triangle	13	44390061	44390133	33a02c
RNA-seq	circle	13	48237028	48237137	1f78b4
ChIP-seq	box	13	49521109	49521198	33a02c
ChIP-seq	box	13	53784107	53784184	33a02c
RNA-seq	circle	13	57463484	57463599	1f78b4
RNA-seq	circle	13	75036083	75036189	1f78b4
RNA-seq	circle	13	93475735	93475851	1f78b4
ChIP-seq	box	13	106981519	106981597	33a02c
ChIP-seq	box	14	19864445	19864530	33a02c
RNA-seq	circle	14	21139752	21139859	1f78b4
rainbow-genome	triangle	14	22468749	22468822	984ea3
ChIP-seq	box	14	30553602	30553699	33a02c
Exome-seq	triangle	14	57776365	57776438	33a02c
RNA-seq	circle	14	75140268	75140374	1f78b4
ChIP-seq	box	14	76802313	76802386	33a02c
ChIP-seq	box	14	99645744	99645843	33a02c
RNA-seq	circle	14	106163721	106163836	1f78b4
ATAC-seq	box	15	20014592	20014644	1f78b4
RNA-seq	circle	15	25108210	25108329	1f78b4
ATAC-seq	box	15	29144526	29144636	1f78b4
ATAC-seq	box	15	32461561	32461643	1f78b4
Exome-seq	triangle	15	38673314	38673395	33a02c
ATAC-seq	box	15	39771074	39771168	1f78b4
ATAC-seq	box	15	41873148	41873249	1f78b4
Exome-seq	triangle	15	43278095	43278167	33a02c
RNA-seq	circle	15	48061931	48062050	1f78b4
ATAC-seq	box	15	50356605	50356689	1f78b4
RNA-seq	circle	15	53365596	53365697	1f78b4
RNA-seq	circle	15	57653593	57653713	1f78b4
RNA-seq	circle	15	58816259	58816377	1f78b4
ATAC-seq	box	15	68158764	68158861	1f78b4
ATAC-seq	box	15	73433004	73433079	1f78b4
Exome-seq	triangle	15	76939958	76940031	33a02c
ATAC-seq	box	15	78921373	78921469	1f78b4
ATAC-seq	box	15	84114730	84114813	1f78b4
ATAC-seq	box	15	94677493	94677540	1f78b4
ATAC-seq	box	15	100318184	100318322	1f78b4
ATAC-seq	box	16	2080196	2080286	1f78b4
rainbow-genome	triangle	16	3140675	3140748	984ea3
rainbow-genome	triangle	16	14287250	14287322	984ea3
ATAC-seq	box	16	15644651	15644730	1f78b4
rainbow-genome	triangle	16	22114532	22114614	984ea3
RNA-seq	circle	16	25947733	25947847	1f78b4
RNA-seq	circle	16	33872926	33873078	1f78b4
RNA-seq	circle	16	46041758	46041873	1f78b4
RNA-seq	circle	16	49460866	49460987	1f78b4
RNA-seq	circle	16	51928865	51928984	1f78b4
RNA-seq	circle	16	58322759	58322866	1f78b4
ATAC-seq	box	16	68157211	68157272	1f78b4
Exome-seq	triangle	16	69369614	69369685	33a02c
RNA-seq	circle	16	74452446	74452556	1f78b4
RNA-seq	circle	16	82631023	82631139	1f78b4
ATAC-seq	box	16	84332727	84332807	1f78b4
ATAC-seq	box	17	1563946	1564031	1f78b4
ATAC-seq	box	17	2598121	2598226	1f78b4
RNA-seq	circle	17	6444987	6445095	1f78b4
rainbow-genome	triangle	17	7963197	7963270	984ea3
ATAC-seq	box	17	11925940	11926038	1f78b4
ATAC-seq	box	17	13387570	13387688	1f78b4
ATAC-seq	box	17	16126052	16126127	1f78b4
ATAC-seq	box	17	17657874	17657970	1f78b4
RNA-seq	circle	17	19841592	19841706	1f78b4
rainbow-genome	triangle	17	21948111	21948186	984ea3
ATAC-seq	box	17	25468222	25468316	1f78b4
ATAC-seq	box	17	27701240	27701334	1f78b4
ATAC-seq	box	17	30502291	30502346	1f78b4
RNA-seq	circle	17	34141580	34141699	1f78b4
Exome-seq	triangle	17	35527078	35527152	33a02c
RNA-seq	circle	17	37127940	37128030	1f78b4
RNA-seq	circle	17	40760521	40760646	1f78b4
ATAC-seq	box	17	43469525	43469612	1f78b4
Exome-seq	triangle	17	44624888	44624960	33a02c
ATAC-seq	box	17	53763591	53763678	1f78b4
ATAC-seq	box	17	58375307	58375405	1f78b4
Exome-seq	triangle	17	59957379	59957453	33a02c
ATAC-seq	box	17	76713670	76713768	1f78b4
Exome-seq	triangle	17	78045885	78045957	33a02c
ATAC-seq	box	18	17517468	17517556	1f78b4
RNA-seq	circle	18	20004466	20004585	1f78b4
ATAC-seq	box	18	26132873	26132924	1f78b4
ATAC-seq	box	18	31738778	31738887	1f78b4
ATAC-seq	box	18	35456084	35456137	1f78b4
RNA-seq	circle	18	39905545	39905664	1f78b4
Exome-seq	triangle	18	41923268	41923341	33a02c
RNA-seq	circle	18	44255855	44255969	1f78b4
ATAC-seq	box	18	45267740	45267790	1f78b4
ATAC-seq	box	18	54269285	54269370	1f78b4
rainbow-genome	triangle	19	1334360	1334433	984ea3
ATAC-seq	box	19	3912411	3912510	1f78b4
RNA-seq	circle	19	11999727	11999836	1f78b4
ATAC-seq	box	19	13808100	13808173	1f78b4
ATAC-seq	box	19	15421358	15421419	1f78b4
ATAC-seq	box	19	20371079	20371162	1f78b4
RNA-seq	circle	19	37426710	37426823	1f78b4
Exome-seq	triangle	19	40758589	40758662	33a02c
Exome-seq	triangle	19	44594647	44594740	33a02c
Exome-seq	triangle	19	46439981	46440054	33a02c
ATAC-seq	box	19	50834091	50834185	1f78b4
ATAC-seq	box	19	53755340	53755423	1f78b4
ATAC-seq	box	19	56888318	56888404	1f78b4
ATAC-seq	box	20	2581422	2581488	1f78b4
ATAC-seq	box	20	3846140	3846218	1f78b4
RNA-seq	circle	20	5027001	5027122	1f78b4
RNA-seq	circle	20	21067596	21067715	1f78b4
ATAC-seq	box	20	26136821	26136914	1f78b4
RNA-seq	circle	20	30102051	30102169	1f78b4
ATAC-seq	box	20	32517790	32517884	1f78b4
RNA-seq	circle	20	38916172	38916283	1f78b4
RNA-seq	circle	20	43621810	43621929	1f78b4
ATAC-seq	box	20	47330253	47330364	1f78b4
ATAC-seq	box	20	48635729	48635823	1f78b4
ATAC-seq	box	20	58316926	58317020	1f78b4
ATAC-seq	box	20	59961996	59962113	1f78b4
RNA-seq	circle	21	14365062	14365178	1f78b4
ATAC-seq	box	21	16833279	16833360	1f78b4
RNA-seq	circle	21	25496391	25496500	1f78b4
ATAC-seq	box	21	36014882	36014976	1f78b4
RNA-seq	circle	21	37146080	37146198	1f78b4
Exome-seq	triangle	21	44719408	44719478	33a02c
ATAC-seq	box	22	16843633	16843727	1f78b4
ATAC-seq	box	22	20337269	20337347	1f78b4
ATAC-seq	box	22	21495269	21495365	1f78b4
ATAC-seq	box	22	25281177	25281289	1f78b4
RNA-seq	circle	22	30031389	30031498	1f78b4
ATAC-seq	box	22	36570224	36570324	1f78b4
ATAC-seq	box	22	39818462	39818516	1f78b4
ATAC-seq	box	22	43975498	43975564	1f78b4
rainbow-genome	triangle	X	3766417	3766491	984ea3
ATAC-seq	box	X	8055005	8055102	1f78b4
ATAC-seq	box	X	21990179	21990233	1f78b4
RNA-seq	circle	X	28910889	28911008	1f78b4
ATAC-seq	box	X	32569511	32569597	1f78b4
RNA-seq	circle	X	41036994	41037113	1f78b4
ATAC-seq	box	X	45490528	45490638	1f78b4
RNA-seq	circle	X	48305456	48305574	1f78b4
ATAC-seq	box	X	49654493	49654584	1f78b4
ATAC-seq	box	X	53599908	53600027	1f78b4
RNA-seq	circle	X	68809047	68809166	1f78b4
ATAC-seq	box	X	73354936	73355021	1f78b4
ATAC-seq	box	X	76056091	76056179	1f78b4
ATAC-seq	box	X	83367415	83367492	1f78b4
ATAC-seq	box	X	94204795	94204881	1f78b4
ATAC-seq	box	X	109185212	109185310	1f78b4
lncRNA-seq	circle	X	110799712	110799832	984ea3
ATAC-seq	box	X	113792274	113792354	1f78b4
ATAC-seq	box	X	118664728	118664839	1f78b4
ATAC-seq	box	X	122523626	122523736	1f78b4
ATAC-seq	box	X	133501880	133501958	1f78b4
ATAC-seq	box	X	135460702	135460785	1f78b4
ATAC-seq	box	X	146119929	146120053	1f78b4
lncRNA-seq	circle	X	149945424	149945536	984ea3
ATAC-seq	box	X	154265942	154266041	1f78b4
RNA-seq	circle	Y	18179137	18179250	1f78b4
